Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,rest/comment_events,1,0,907.3686000047019,907.3686000047019,907.3686000047019,907.3686000047019,17313.0,0.0033498834359799983,0.0,910,910,910,910,910,910,910,910,910,910,910
GET,rest/overfetch_partial,2,0,640,704.603500002122,635.3917000087677,773.8152999954764,17085.0,0.006699766871959997,0.0,770,770,770,770,770,770,770,770,770,770,770
REST-chain,rest/project_comments [chain],1,0,13426.829500007443,13426.829500007443,13426.829500007443,13426.829500007443,43429.0,0.0033498834359799983,0.0,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000
GET,rest/project_comments/comments,25,0,510,511.6225920012221,507.0886000030441,513.3894000027794,1053.76,0.08374708589949996,0.0,510,510,510,510,510,510,510,510,510,510,510
GET,rest/project_comments/topics,1,0,631.1645000096178,631.1645000096178,631.1645000096178,631.1645000096178,17085.0,0.0033498834359799983,0.0,630,630,630,630,630,630,630,630,630,630,630
GET,rest/topic_events,1,0,906.4977999951225,906.4977999951225,906.4977999951225,906.4977999951225,19612.0,0.0033498834359799983,0.0,910,910,910,910,910,910,910,910,910,910,910
REST-chain,rest/topic_full [chain],3,0,53000,53035.81886666749,52704.32879999862,53398.82539999962,60750.0,0.010049650307939995,0.0,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000
GET,rest/topic_full/comments,95,0,510,522.8543863153869,475.1454999932321,615.7808999996632,1054.4,0.31823892641809987,0.0,510,510,510,510,610,610,620,620,620,620,620
GET,rest/topic_full/files,95,0,510,522.2217568421528,479.91509998973925,716.2491000053706,220.57894736842104,0.31823892641809987,0.0,510,510,510,510,520,610,720,720,720,720,720
GET,rest/topic_full/selection,94,0,510.24279999546707,522.1709563837144,510.24279999546707,718.2039999897825,337.3936170212766,0.31488904298211984,0.0,510,510,510,510,520,610,720,720,720,720,720
GET,rest/topic_full/topics,4,0,660,683.8385750015732,613.0087999918032,782.5133000005735,17085.0,0.013399533743919993,0.0,680,680,780,780,780,780,780,780,780,780,780
GET,rest/topic_full/viewpoints,94,0,510,525.7675542557758,503.7701000110246,717.390499994508,141.51063829787233,0.31488904298211984,0.0,510,510,510,510,610,610,620,720,720,720,720
GET,rest/topics_flat,2,0,800,12149.718500004383,799.2763000074774,23500.16070000129,17085.0,0.006699766871959997,0.0,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000
REST-chain,rest/topics_nested [chain],2,0,27000,26914.184999994177,26689.607599997544,27138.76239999081,28898.0,0.006699766871959997,0.0,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000
GET,rest/topics_nested/selection,50,0,510.091599993757,526.4260800005286,510.091599993757,921.6264000133378,330.88,0.16749417179899992,0.0,510,510,510,510,510,610,920,920,920,920,920
GET,rest/topics_nested/topics,2,0,781.0179999942193,802.6064000005135,781.0179999942193,824.1948000068078,17085.0,0.006699766871959997,0.0,820,820,820,820,820,820,820,820,820,820,820
GET,rest/topics_nested/viewpoints,50,0,510,517.5944640007219,506.68280001264066,614.2066000029445,141.64,0.16749417179899992,0.0,510,510,510,510,510,610,610,610,610,610,610
,Aggregated,522,0,510,999.3044898471254,475.1454999932321,53398.82539999962,1387.8256704980843,1.7486391535815593,0.0,510,510,510,510,610,620,820,24000,53000,53000,53000
