Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,rest/comment_events,13,0,850,818.5882615373255,642.7738999918802,977.7142999955686,17313.0,0.043503338016474,0.0,850,900,910,930,970,980,980,980,980,980,980
GET,rest/overfetch_partial,13,0,790,771.7158999999251,478.06980001041666,1028.0581999977585,17085.0,0.043503338016474,0.0,790,810,820,900,1000,1000,1000,1000,1000,1000,1000
REST-chain,rest/project_comments [chain],12,0,14000,14091.79990833339,13453.290000004927,15275.729900007718,43429.0,0.04015692739982216,0.0,14000,14000,15000,15000,15000,15000,15000,15000,15000,15000,15000
GET,rest/project_comments/comments,300,0,510,524.6959213332835,476.18849998980295,1231.7004999931669,1053.76,1.0039231849955539,0.0,510,510,510,510,530,610,620,920,1200,1200,1200
GET,rest/project_comments/topics,12,0,790,971.878966668252,546.0905000072671,2486.902000004193,17085.0,0.04015692739982216,0.0,800,810,1100,1100,1200,2500,2500,2500,2500,2500,2500
GET,rest/topic_events,8,0,910,883.9893875028793,690.9660000092117,975.8338000101503,19612.0,0.02677128493321477,0.0,930,970,970,970,980,980,980,980,980,980,980
REST-chain,rest/topic_full [chain],17,0,53000,52902.462935290874,52238.87659999309,54169.10600000119,60750.0,0.056888980483081386,0.0,53000,53000,53000,54000,54000,54000,54000,54000,54000,54000,54000
GET,rest/topic_full/comments,440,0,510,521.1844009093594,474.7108000010485,1025.9126000019023,1053.3954545454546,1.4724206713268124,0.0,510,510,510,510,510,610,640,640,1000,1000,1000
GET,rest/topic_full/files,440,0,510,517.5709322730571,449.4811999902595,716.7596000072081,220.2977272727273,1.4724206713268124,0.0,510,510,510,510,510,610,620,620,720,720,720
GET,rest/topic_full/selection,438,0,510,522.0520340173864,447.7539999934379,1034.8243000044022,331.0753424657534,1.4657278500935087,0.0,510,510,510,510,520,610,620,720,1000,1000,1000
GET,rest/topic_full/topics,19,0,800,872.0027789455153,511.31689999601804,1745.6785999966087,17085.0,0.06358180171638508,0.0,800,820,860,880,1700,1700,1700,1700,1700,1700,1700
GET,rest/topic_full/viewpoints,440,0,510,520.0043409095418,449.1472999943653,1122.7809999982128,141.62272727272727,1.4724206713268124,0.0,510,510,510,510,510,610,620,640,1100,1100,1100
GET,rest/topics_flat,7,0,740,737.9186142830544,622.9943999933312,820.9652999939863,17085.0,0.023424874316562923,0.0,740,780,810,810,820,820,820,820,820,820,820
REST-chain,rest/topics_nested [chain],12,0,27000,26909.05085000001,26488.196599995717,27854.031299997587,28898.0,0.04015692739982216,0.0,27000,27000,27000,27000,27000,28000,28000,28000,28000,28000,28000
GET,rest/topics_nested/selection,310,0,510,524.249645806389,449.43349999084603,1128.5460999934003,333.7,1.0373872911620723,0.0,510,510,510,510,520,620,640,640,1100,1100,1100
GET,rest/topics_nested/topics,14,0,820,846.1135785712811,479.69730000477284,1125.5296000017552,17085.0,0.04684974863312585,0.0,840,870,870,920,1100,1100,1100,1100,1100,1100,1100
GET,rest/topics_nested/viewpoints,310,0,510,519.6364883870457,478.9255000068806,832.1214000025066,141.54193548387096,1.0373872911620723,0.0,510,510,510,510,520,610,610,620,830,830,830
,Aggregated,2805,0,510,1019.5601049910659,447.7539999934379,54169.10600000119,1648.6156862745097,9.386681779708429,0.0,510,510,510,510,610,650,1000,26000,54000,54000,54000
